Rk,Player,Nation,Pos,Goals,Shots,SoT,G/Sh,G/SoT,
1096,Wayne Hennessey,WAL,GK,0,0,0,0,0,
1097,Benjamin Henrichs,GER,DFMF,2,1.22,0.2,0.11,0.67,
1098,Henrique,BRA,DF,0,0.71,0,0,0,
1099,Luiz Henrique,BRA,FW,1,2.33,0.85,0.03,0.09,
1100,Matheus Henrique,BRA,MF,1,1.18,0.79,0.11,0.17,
1101,Rico Henry,ENG,DF,0,0.48,0.1,0,0,
1102,Thomas Henry,FRA,FW,2,1.58,0.44,0.11,0.4,
1103,Christophe Hérelle,MTQ,DF,0,0.1,0,0,0,
1104,Mario Hermoso,ESP,DF,2,1.19,0.68,0.29,0.5,
1105,Aridane Hernández,EQG,DF,0,0,0,0,0,
1106,Lucas Hernández,FRA,DF,0,0,0,0,0,
1107,Luis Hernández,ESP,DF,0,0.26,0.05,0,0,
1108,Mario Hernández,ESP,FW,0,2,0,0,0,
1109,Theo Hernández,FRA,DF,2,1.91,0.33,0.03,0.17,
1110,Ander Herrera,ESP,MF,0,1.18,0.29,0,0,
1111,Sergio Herrera,ESP,GK,0,0,0,0,0,
1112,Yangel Herrera,VEN,MFFW,2,2.21,0.93,0.11,0.25,
1113,Patrick Herrmann,GER,FWMF,1,3.75,1.25,0.17,0.5,
1114,Son Heung-min,KOR,MFFW,4,2.66,1.3,0.08,0.16,
1115,Aaron Hickey,SCO,DF,0,0.49,0.12,0,0,
1116,Isak Hien,SWE,DF,0,0.06,0,0,0,
1117,Omar El Hilali,MAR,DFMF,0,0,0,0,0,
1118,Piero Hincapié,ECU,DF,1,0.68,0.25,0.09,0.25,
1119,Morten Hjulmand,DEN,MF,0,0.42,0.05,0,0,
1120,Adam Hlo?ek,CZE,FWMF,3,2.35,0.92,0.13,0.33,
1121,Joseph Hodge,IRL,MF,0,0.53,0,0,0,
1122,Nicolas Höfler,GER,MF,0,0.6,0.16,0,0,
1123,Jonas Hofmann,GER,FW,7,1.41,0.77,0.32,0.58,
1124,Philipp Hofmann,GER,FW,7,1.73,0.86,0.25,0.5,
1125,Rob Holding,ENG,DF,0,0,0,0,0,
1126,Lucas Höler,GER,FWMF,2,1.67,0.95,0.29,0.5,
1127,Mason Holgate,ENG,DF,0,0.83,0,0,0,
1128,Emil Holm,SWE,DF,1,0.97,0.32,0.07,0.2,
1129,Noah Holm,NOR,FWMF,0,0.91,0,0,0,
1130,Gerrit Holtmann,PHI,FW,1,2.72,1.41,0.04,0.08,
1131,Martin Hongla,CMR,MF,0,0.86,0.34,0,0,
1132,Martin Hongla,CMR,DF,0,0,0,0,0,
1133,Franck Honorat,FRA,FWMF,3,1.56,0.68,0.1,0.23,
1134,Jannes Horn,GER,DFFW,0,0,0,0,0,
1135,Cédric Hountondji,BEN,DF,0,0.32,0.14,0,0,
1136,Ilyes Housni,FRA,FW,0,0,0,0,0,
1137,Lukáš Hrádeck?,FIN,GK,0,0,0,0,0,
1138,Petko Hristov,BUL,DF,0,0.24,0,0,0,
1139,Ajdin Hrustic,AUS,MF,0,1.2,0,0,0,
1140,Timo Hübers,GER,DF,0,0.21,0,0,0,
1141,Callum Hudson-Odoi,ENG,FWMF,0,0.33,0,0,0,
1142,Will Hughes,ENG,MF,0,0.48,0.48,0,0,
1143,Mats Hummels,GER,DF,0,0.86,0.08,0,0,
1144,Adrien Hunou,FRA,FWMF,3,1.92,0.79,0.09,0.21,
1145,Denis Huseinbasic,GER,MFFW,3,1.93,0.53,0.27,1,
1146,Omari Hutchinson,ENG,FW,0,0,0,0,0,
1147,Elseid Hysaj,ALB,DF,0,0.11,0.11,0,0,
1148,Pierre Højbjerg,DEN,MF,4,1.06,0.32,0.17,0.57,
1149,Rasmus Højlund,DEN,FW,5,2.83,1.32,0.17,0.36,
1150,Iago,BRA,DFMF,0,0.58,0,0,0,
1151,Pablo Ibáñez,ESP,MF,0,1.43,0.95,0,0,
1152,Roger Ibanez,BRA,DF,3,0.81,0.29,0.18,0.5,
1153,Arijon Ibrahimovi?,GER,MF,0,10,10,0,0,
1154,Mounaim El Idrissy,FRA,FW,4,2.2,0.9,0.1,0.25,
1155,Iglesias,ESP,DF,1,0.87,0.33,0.08,0.2,
1156,Borja Iglesias,ESP,FW,9,2.38,0.85,0.13,0.36,
1157,Igor,BRA,DF,0,0.32,0,0,0,
1158,Kelechi Iheanacho,NGA,FWMF,3,3.67,1.22,0.17,0.5,
1159,Jonathan Ikone,FRA,FW,2,2.31,0.46,0.07,0.33,
1160,Ivan Ili?,SRB,MF,0,0.95,0.21,0,0,
1161,Rareþ Ilie,ROU,MFFW,0,2.5,0,0,0,
1162,Samuel Iling-Junior,ENG,DFMF,0,0.83,0,0,0,
1163,Emirhan Ýlkhan,TUR,MF,0,2,0,0,0,
1164,Asier Illarramendi,ESP,MF,1,1.43,0.54,0.13,0.33,
1165,Ciro Immobile,ITA,FW,7,3.03,1.21,0.15,0.38,
1166,Danny Ings,ENG,FW,0,3.33,0,0,0,
1167,Danny Ings,ENG,FW,6,2.72,1.3,0.16,0.33,
1168,Marcus Ingvartsen,DEN,FWMF,6,2.71,0.71,0.16,0.6,
1169,Bonke Innocent,NGA,MF,0,0.2,0,0,0,
1170,Alexander Isak,SWE,FW,3,2.62,1.9,0.18,0.25,
1171,Alexander Isak,SWE,FW,1,1.76,0.59,0.33,1,
1172,Isco,ESP,MFFW,0,0.45,0.11,0,0,
1173,Ismaily,BRA,DF,2,0.75,0.31,0.17,0.4,
1174,Ardian Ismajli,ALB,DF,0,0.49,0.14,0,0,
1175,Ko Itakura,JPN,DF,0,0.7,0.47,0,0,
1176,Hiroki Ito,JPN,DF,0,0.71,0.29,0,0,
1177,Junya Ito,JPN,FW,4,1.49,0.71,0.16,0.33,
1178,Andreas Ivan,ROU,MF,0,2,0,0,0,
1179,Alex Iwobi,NGA,MF,1,0.91,0.24,0.05,0.2,
1180,Armando Izzo,ITA,DF,0,0.49,0.08,0,0,
1181,Nicolas Jackson,SEN,FW,2,1.82,0.8,0.13,0.29,
1182,Lee Jae-sung,KOR,MF,6,1.45,0.65,0.33,0.75,
1183,Paul Jaeckel,GER,DF,1,0.2,0.2,0.5,0.5,
1184,Mato Jajalo,BIH,MF,0,2.86,0,0,0,
1185,Kristijan Jaki?,CRO,DFMF,1,0.57,0.24,0.14,0.33,
1186,Jan Jakob Olschowsky,GER,GK,0,0,0,0,0,
1187,Ismail Jakobs,SEN,DFMF,0,1,0.5,0,0,
1188,Marin Jakoliš,CRO,FW,0,6.67,3.33,0,0,
1189,Daniel James,WAL,FW,0,1.36,0.45,0,0,
1190,Daniel James,WAL,FW,1,2.5,0.5,0.1,0.5,
1191,Reece James,ENG,DFMF,1,1.19,0.48,0.1,0.25,
1192,Vitaly Janelt,GER,MFDF,2,0.51,0.25,0.25,0.5,
1193,Saidy Janko,GAM,DF,0,0.14,0,0,0,
1194,Pontus Jansson,SWE,DF,0,0.18,0,0,0,
1195,Tony Jantschke,GER,DFMF,0,0,0,0,0,
1196,Adnan Januzaj,BEL,FW,0,0,0,0,0,
1197,Javi,ESP,DF,0,0.98,0,0,0,
1198,Luis Javier Suárez,COL,FW,2,2.78,1.39,0.2,0.4,
1199,Luis Javier Suárez,COL,FW,3,4.85,2.12,0.19,0.43,
1200,Dany Jean,HAI,DF,0,0,0,0,0,
1201,Julian Jeanvier,GUI,DF,1,0.58,0.29,0.13,0.25,
1202,Fredrik Jensen,FIN,FWMF,1,1.06,0.24,0.11,0.5,
1203,Mathias Jensen,DEN,MF,3,0.75,0.22,0.21,0.75,
1204,Moritz Jenz,GER,DF,0,1.33,0.67,0,0,
1205,Gabriel Jesus,BRA,FW,5,3.7,1.48,0.1,0.25,
1206,Juan Jesus,BRA,DF,1,0.6,0.15,0.25,1,
1207,Raúl Jiménez,MEX,FW,0,3.33,1.11,0,0,
1208,Joaquín,ESP,MFFW,0,1.67,0.42,0,0,
1209,Joelinton,BRA,MFFW,2,1.65,0.59,0.06,0.18,
1210,?órir Jóhann Helgason,ISL,MF,0,0.59,0,0,0,
1211,Ben Johnson,ENG,DF,0,0,0,0,0,
1212,Brennan Johnson,WAL,FW,5,1.6,0.8,0.13,0.25,
1213,Paul Joly,FRA,DF,0,0.73,0,0,0,
1214,Curtis Jones,ENG,MFFW,0,1.9,0.48,0,0,
1215,Frenkie de Jong,NED,MF,2,0.9,0.55,0.15,0.25,
1216,Joan Jordán,ESP,MF,0,0.77,0.23,0,0,
1217,Filip Jörgensen,DEN,GK,0,0,0,0,0,
1218,Jorginho,ITA,MF,0,2.5,0,0,0,
1219,Jorginho,ITA,MF,2,0.21,0.07,0,0,
1220,Josan,ESP,DFMF,1,0.64,0.43,0.33,0.5,
1221,Willian José,BRA,FW,0,2.31,0.51,0,0,
1222,Joselu,ESP,FW,11,2.42,1,0.17,0.42,
1223,Diogo Jota,POR,FWMF,0,1.36,0.45,0,0,
1224,Stevan Joveti?,MNE,FWMF,1,2.73,0.45,0.08,0.5,
1225,Luka Jovi?,SRB,FWMF,3,2.95,0.98,0.09,0.27,
1226,Juanmi,ESP,FW,3,1.48,0.82,0.33,0.6,
1227,Juanpe,ESP,DF,0,0.26,0,0,0,
1228,Jubal,BRA,DF,1,0.41,0.05,0.13,1,
1229,Christopher Jullien,FRA,DF,0,0.57,0.06,0,0,
