name,position,goals,shots
Isaac Hayden,MF,0,16
Sean Longstaff,MF,0,15
Matt Ritchie,DF,0,11
Jeff Hendrick,MF,2,10
Kyle Bartley,DF,3,14
Conor Townsend,DF,0,11
Jacob Murphy,DF,2,30
Dwight Gayle,FW,1,16
Darnell Furlong,DF,1,26
Allan Saint-Maximin,FW,3,30
Gary Cahill,DF,1,11
Grady Diangana,MF,1,14
Robbie Brady,MF,1,16
Jake Livermore,MF,0,5
Matt Phillips,MF,2,22
Callum Robinson,FW,5,31
Riyad Mahrez,FW,9,58
Dennis Praet,MF,1,8
Said Benrahma,FW,1,35
Sadio Mané,FW,11,94
Victor Lindelöf,DF,1,4
Aleksandar Mitrovic,FW,3,59
Emil Krafth,DF,1,7
Edouard Mendy,GK,0,0
Cheikhou Kouyaté,DF,1,7
Jonny Evans,DF,2,8
Nampalys Mendy,MF,0,4
Andy Carroll,FW,1,13
Scott Dann,DF,1,4
Stuart Dallas,DF,8,48
Steven Bergwijn,FW,1,15
Georginio Wijnaldum,MF,2,31
Ilkay Gündogan,MF,13,54
Kai Havertz,MF,4,33
Bernd Leno,GK,0,0
Antonio Rüdiger,DF,1,14
Kasper Schmeichel,GK,0,0
Jordan Pickford,GK,0,0
Jannik Vestergaard,DF,3,23
Jamal Lewis,DF,0,3
Sam Johnstone,GK,0,0
Harry Kane,FW,23,138
Trent Alexander-Arnold,DF,2,55
John Stones,DF,4,15
Kyle Walker,DF,1,10
Phil Foden,FW,9,45
David de Gea,GK,0,0
Emile Smith-Rowe,MF,2,13
Bukayo Saka,FW,5,61
Fabian Schär,DF,1,12
Ben Chilwell,DF,3,27
Harry Maguire,DF,2,36
Conor Coady,DF,1,7
Kalvin Phillips,MF,1,15
Tyrone Mings,DF,2,19
Tammy Abraham,FW,6,32
Reece James,DF,1,35
Aaron Ramsdale,GK,0,0
Conor Gallagher,MF,2,29
Rodri,MF,2,32
Aymeric Laporte,DF,0,6
Bertrand Traoré,FW,7,64
Rodrigo,MF,7,46
Pierre-Emerick Aubameyang,FW,10,57
Giovani Lo Celso,MF,1,15
Pablo Fornals,FW,5,50
César Azpilicueta,DF,1,11
Jorginho,MF,7,14
Alexis Mac Allister,MF,1,24
Chris Wood,FW,12,70
Mario Lemina,MF,1,19
Robert Sánchez,GK,0,0
Emiliano Martinez,GK,0,0
Diego Llorente,DF,1,8
Moussa Djenepo,MF,1,14
Yves Bissouma,MF,1,42
Maxime Poundje,DF,0,15
Ludovic Baal,DF,0,0
Clément Grenier,MF,5,28
Stéphane Sessegnon,MF,1,20
Herve Bazile,FW,0,17
Ernest Seka,DF,1,15
Hilton,DF,0,20
Neven Subotic,DF,2,6
Yaya Sanogo,FW,6,49
Yassine El Ghanassy,FW,0,13
Oswaldo Vizcarrondo,DF,0,5
Benjamin Nivet,MF,2,17
Étienne Didot,MF,2,13
Romain Genevois,DF,0,4
Florent Balmont,MF,1,5
Stéphane Ruffier,GK,0,0
Loic Perrin,DF,0,12
Thiago Motta,MF,1,7
Rémy Vercoutre,GK,0,0
Andrea Raggi,DF,1,5
Renaud Cohade,MF,1,37
Francois Bellugou,MF,0,1
Jérémy Sorbon,DF,0,4
Franck Tabanou,DF,0,2
Souleymane Camara,FW,2,19
Bakary Koné,DF,2,10
Kader Mangane,DF,1,15
Vincent Bessat,DF,0,17
Julien Féret,MF,0,27
Yoann Andreu,DF,0,5
Lacina Traoré,FW,0,11
Emiliano Sala,FW,12,95
Jonathan Bamba,FW,7,68
Gerónimo Poblete,MF,0,4
Emmanuel Rivière,FW,5,69
Nicolas Benezet,FW,3,28
Prejuce Nakoulma,FW,3,27
Mathieu Deplagne,DF,0,5
Christian Kouakou,MF,1,26
Adama Niane,FW,8,74
Edgar Ié,DF,1,13
Mehdi Abeid,MF,0,21
Jeremy Grimm,MF,1,15
Karl-Johan Johnsson,GK,0,0
Ole Selnaes,MF,0,14
Jonathan Rivierez,DF,0,8
Alexandre Mendy,FW,4,29
Facundo Píriz,MF,0,9
Benjamin Jeannot,FW,4,28
Thiago Maia,MF,0,15
Anthony Goncalves,MF,0,21
Jules Iloki,MF,0,11
Danijel Subasic,GK,0,0
Ezequiel Ponce,FW,2,21
Junior Alonso,DF,2,16
Lukas Lerager,MF,3,41
Ola Toivonen,FW,0,19
Rémy Cabella,MF,8,60
Malcom,FW,12,75
Francois Kamano,FW,8,63
Kévin Théophile-Catherine,DF,0,4
Jordan Ikoko,DF,0,10
Keagan Dolly,FW,1,22
Fouad Chafik,DF,0,5
Danilo Avelar,DF,1,7
Isaac Mbenza,FW,8,55
Baptiste Guillaume,FW,1,7
Ronny Rodelin,FW,5,108
Jan Repas,MF,0,17
Mathieu Debuchy,DF,4,19
Idriss Saadi,FW,4,32
Giovanni Sio,FW,10,84
Harrison Manzala,FW,4,32
Jorge,DF,1,7
Mateo Pavlovic,DF,2,18
Régis Gurtner,GK,0,0
Bongani Zungu,MF,1,7
Felix Eboa Eboa,DF,1,9
Mathieu Dossevi,FW,1,32
Yassine Benzia,MF,1,29
Théo Pellenard,DF,0,1
Lucas Deaux,MF,2,18
Daniel Congré,DF,1,11
Erwin Zelazny,GK,0,0
Jordan Marié,MF,1,21
Frederic Sammaritano,FW,0,31
Baptiste Reynet,GK,0,0
Adrien Hunou,FW,5,25
Bakaye Dibassy,DF,1,11
Emmanuel Bourgaud,MF,0,11
Robert Beric,FW,7,24
Luiz Araujo,FW,5,49
Samuel Grandsir,FW,3,48
Younousse Sankhare,MF,7,39
Hiroki Sakai,DF,0,3
Jimmy Durmaz,MF,3,14
Rachid Ghezzal,FW,2,29
Papy Djilobodji,DF,0,19
Valentin Rosier,DF,0,16
Yannis Salibur,FW,3,54
François Moubandje,DF,0,3
Bryan Dabo,MF,2,19
Vukasin Jovanovic,DF,0,4
Mehdi Zeffane,DF,0,15
Oussama Haddadi,DF,1,6
Max Gradel,FW,8,69
Bryan Pelé,FW,2,21
Lebogang Phiri,MF,0,6
Kévin Monnet-Paquet,FW,2,27
Ibrahim Sangare,MF,1,20
Alois Confais,MF,0,2
Chidozie Awaziem,DF,1,13
Kostas Mitroglou,FW,9,44
Kenny Tete,DF,1,7
Florian Thauvin,FW,22,129
Mamadou Samassa,GK,0,0
Rene Krhin,MF,1,11
Kenny Lala,DF,3,15
Ivan Santini,FW,11,85
Youssef Ait Bennasser,MF,0,23
Kwon Chang-Hoon,FW,11,67
Naim Sliti,FW,7,58
Steeve Yago,DF,0,0
Yacine Bammou,MF,3,22
Romain Amalfitano,MF,0,12
Issiaga Sylla,DF,1,14
Fallou Diagne,DF,1,14
Serge Gakpe,FW,3,30
Christophe Kerbrat,DF,1,7
Guessouma Fofana,MF,0,6
Nolan Roux,FW,15,82
Adama Mbengue,DF,0,14
Baissama Sankoh,MF,0,3
Cédric Yambéré,DF,3,8
Benjamin Corgnet,MF,0,27
Gilles Sunu,MF,1,11
Thomas Meunier,DF,4,11
Rolando,DF,1,17
Bouna Sarr,DF,0,18
Ludovic Butelle,GK,0,0
Soualiho Meité,MF,1,11
Giannelli Imbula,MF,1,33
Kamil Glik,DF,3,23
Stevan Jovetic,FW,8,35
Christopher Nkunku,FW,4,20
Lucas Tousart,MF,0,16
Nordi Mukiele,DF,0,19
Almamy Touré,DF,1,7
Tomas Koubek,GK,0,0
Ramy Bensebaini,DF,0,19
Alexis Blin,MF,1,10
Marcus Thuram,FW,3,53
Ellyes Skhiri,MF,4,39
Jérôme Roussillon,DF,3,20
Alassane Pléa,FW,16,107
Moussa Niakhate,DF,0,18
Kevin Malcuit,DF,0,10
Bassem Srarfi,FW,3,24
Stef Peeters,MF,0,17
Mike Maignan,GK,0,0
Bingourou Kamara,GK,0,0
Vincent Koziello,MF,0,4
Alphonse Areola,GK,0,0
Thiago Silva,DF,1,11
Adrien Rabiot,MF,1,23
Fabinho,MF,7,25
Lassana Coulibaly,MF,1,15
Maxime Lopez,MF,0,10
Issa Diop,DF,3,18
Abdoulaye Touré,MF,1,41
Malang Sarr,DF,0,7
Adrien Tameze,MF,0,7
Edinson Cavani,FW,28,106
Fernando Marçal,DF,0,2
Bertrand Traoré,FW,13,79
Giovani Lo Celso,MF,4,38
Morgan Sanson,MF,8,53
Youri Tielemans,MF,0,25
Nicolas Pepe,FW,13,65
Yves Bissouma,MF,2,41
Anwar El Ghazi,FW,4,61
Christopher Jullien,DF,1,25
Marquinhos,DF,0,15
Presnel Kimpembe,DF,0,12
Layvin Kurzawa,DF,2,21
Ángel Di María,FW,11,98
Julian Draxler,MF,4,23
Marco Verratti,MF,0,8
Neymar,FW,19,91
Maxwel Cornet,FW,4,31
Steve Mandanda,GK,0,0
Jordan Amavi,DF,0,20
Ismaila Sarr,FW,5,41
Andy Delort,FW,5,70
Walter Benítez,GK,0,0
Dante,DF,1,21
Pierre Lees-Melou,MF,5,50
Allan Saint-Maximin,FW,3,39
Jean Eudes Aholou,MF,5,38
Ferland Mendy,DF,0,17
Jules Koundé,DF,2,10
Lucas Ocampos,FW,9,62
Dimitri Payet,MF,6,58
Maxime Le Marchand,DF,0,12
Diego Carlos,DF,1,26
Valentin Rongier,MF,1,28
Alexander Djiku,DF,0,18
Frederic Guilbert,DF,1,14
Eiji Kawashima,GK,0,0
Dmitri Lienard,MF,5,53
Sanjin Prcic,MF,1,18
Adrien Thomasson,MF,5,56
Thomas Lemar,MF,2,47
Djibril Sidibe,DF,2,20
Nabil Fekir,MF,18,88
Youssouf Sabaly,DF,0,10
Hamari Traore,DF,0,15
Benjamin Bourigeaud,MF,10,66
Baptiste Santamaria,MF,0,18
Flavien Tait,MF,4,58
Benjamin Lecomte,GK,0,0
Ruben Aguilar,DF,0,16
Gaetan Laborde,FW,3,31
Wesley Said,FW,9,49
Yannick Cahuzac,MF,0,4
Corentin Jean,MF,1,25
Jonas Martin,MF,4,27
Gaël Kakuta,MF,6,54
Dani Alves,DF,1,27
Anthony Lopes,GK,0,0
Léo Dubois,DF,3,45
Marcelo,DF,3,24
Memphis Depay,FW,19,106
Valère Germain,FW,9,60
Benjamin André,MF,3,32
Arnaud Souquet,DF,0,7
Jordan Ferri,MF,0,7
Pedro Mendes,DF,1,12
Florent Mollet,MF,7,44
Xeka,MF,2,34
Falcao,FW,18,70
Houssem Aouar,MF,6,49
Karl Toko Ekambi,FW,17,103
Damien Da Silva,DF,4,18
Iván Balliu,DF,0,4
Nicolas Pallois,DF,0,9
Charles Traore,DF,0,10
Andrei Girotto,MF,1,31
Ludovic Blas,MF,3,38
Marcus Coco,FW,2,28
Wylan Cyprien,MF,2,20
Thiago Mendes,MF,3,45
Alban Lafont,GK,0,1
Ronael Pierre Gabriel,DF,0,6
Abdoulaye Bamba,DF,0,4
Ismael Traoré,DF,3,14
Stéphane Bahoken,FW,7,37
Vincent Manceau,DF,0,16
Romain Thomas,DF,2,17
Pierrick Capelle,MF,2,40
Angelo Fulgini,MF,3,37
Thomas Mangani,MF,2,37
Lois Diony,FW,0,16
Christophe Herelle,DF,0,12
Dimitri Foulquier,DF,0,2
Jemerson,DF,2,18
Adil Rami,DF,1,16
Oualid El Hajjam,DF,1,18
Alexandre Oukidja,GK,0,0
Jimmy Giraudon,DF,0,4
Paul Lasne,MF,1,45
Karim Azamoum,MF,1,23
Yuri,DF,2,10
Jérémy Morel,DF,0,1
Javier Pastore,MF,4,24
Benoit Costil,GK,0,0
Nicolas de Preville,FW,6,68
Ibrahim Amadou,MF,0,16
Mexer,DF,0,4
Saif-Eddine Khaoui,MF,5,62
Opa Nguette,FW,0,28
Ibrahima Niane,MF,2,38
Vincent Pajot,MF,2,20
Thomas Monconduit,MF,1,27
Otávio,MF,0,12
Jimmy Briand,FW,11,73
Joris Gnagnon,DF,2,28
Saidy Janko,DF,0,5
Romain Hamouma,FW,5,43
Valentin Vada,MF,2,12
Wahbi Khazri,FW,9,65
Assane Diousse,MF,1,10
Guido Carrillo,FW,4,13
Simon Francis,DF,0,3
Glenn Murray,FW,1,18
Ahmed Elmohamady,DF,1,5
Sergio Agüero,FW,16,76
Adrian Mariappa,DF,0,3
Davy Pröpper,MF,1,29
Alexander Tettey,MF,1,23
Mesut Özil,MF,1,9
Max Meyer,MF,0,9
Diego Rico,DF,0,11
Frederic Guilbert,DF,0,8
Björn Engels,DF,1,8
Toby Alderweireld,DF,2,15
Héctor Bellerín,DF,1,7
Shkodran Mustafi,DF,0,11
Matteo Guendouzi,MF,0,11
Emerson,DF,0,13
Sofiane Boufal,MF,0,18
Mat Ryan,GK,0,0
Morgan Schneiderlin,MF,0,6
Martín Montoya,DF,0,8
Wesley,FW,5,36
Serge Aurier,DF,1,13
Georginio Wijnaldum,MF,4,36
Dani Ceballos,MF,0,13
Andreas Pereira,MF,1,37
Willian,FW,9,71
Michy Batshuayi,FW,1,15
Etienne Capoue,MF,0,19
Djibril Sidibe,DF,0,12
Erik Lamela,MF,2,29
Reiss Nelson,FW,1,11
Sébastien Haller,FW,7,57
James McCarthy,MF,0,12
Patrick van Aanholt,DF,3,27
DeAndre Yedlin,DF,1,1
John Lundstram,MF,5,44
Kieran Tierney,DF,1,6
Bernd Leno,GK,0,0
Sead Kolasinac,DF,0,4
Granit Xhaka,MF,1,11
Aaron Ramsdale,GK,0,0
Josip Drmic,FW,1,14
Bukayo Saka,DF,1,13
Pierre-Emerick Aubameyang,FW,22,93
Alexandre Lacazette,FW,10,52
Nicolas Pepe,FW,5,50
Ben Foster,GK,0,1
Craig Cathcart,DF,0,2
Kiko Femenía,DF,0,5
Christian Kabasele,DF,0,9
Adam Masina,DF,1,15
Tom Cleverley,MF,1,17
Daniel James,FW,3,42
Moussa Sissoko,MF,2,15
Ismaila Sarr,FW,5,43
Dan Gosling,MF,3,13
Joshua King,FW,6,26
George Baldock,DF,2,13
Chris Basham,DF,0,6
John Egan,DF,2,27
Enda Stevens,DF,2,22
John Fleck,MF,5,31
Oliver Norwood,MF,1,17
Conor Hourihane,MF,3,29
Lucas Digne,DF,0,29
Lys Mousset,FW,6,37
Matt Targett,DF,1,7
David McGoldrick,FW,2,45
Billy Sharp,FW,3,16
Kortney Hause,DF,1,20
Tyrone Mings,DF,2,8
Oliver McBurnie,FW,6,50
Marvelous Nakamba,MF,0,7
Jetro Willems,DF,2,14
Trézéguet,FW,6,50
Danny Ings,FW,22,93
Emiliano Buendía,FW,1,40
Marco Stiepermann,MF,0,19
John McGinn,MF,3,55
Douglas Luiz,MF,3,38
David de Gea,GK,0,0
Victor Lindelöf,DF,1,6
Fabián Balbuena,DF,1,10
Tom Heaton,GK,0,0
Andy Carroll,FW,0,16
Scott Dann,DF,0,8
Dean Henderson,GK,0,1
Luke Shaw,DF,0,11
Mason Greenwood,FW,10,39
Jesse Lingard,MF,1,22
Juan Mata,MF,0,10
Nemanja Matic,MF,0,7
Scott McTominay,MF,3,29
Paul Pogba,MF,1,22
Fred,MF,0,40
Anthony Martial,FW,17,80
Marcus Rashford,FW,17,95
Kepa,GK,0,0
Marcos Alonso,DF,4,30
Antonio Rüdiger,DF,2,12
Harry Maguire,DF,1,31
Aaron Wan-Bissaka,DF,0,7
Aaron Connolly,FW,3,36
Christian Pulisic,FW,9,63
César Azpilicueta,DF,2,29
Ross Barkley,MF,1,40
Jorginho,MF,4,12
Mateo Kovacic,MF,1,21
Callum Hudson-Odoi,FW,1,21
Ben Chilwell,DF,3,16
Lukasz Fabianski,GK,0,0
Aaron Cresswell,DF,3,18
Mason Mount,MF,7,78
Reece James,DF,0,18
Pablo Fornals,MF,2,36
Manuel Lanzini,MF,0,23
Kurt Zouma,DF,0,15
Declan Rice,MF,1,31
Issa Diop,DF,3,16
Ryan Fredericks,DF,0,3
Arthur Masuaku,DF,0,5
Angelo Ogbonna,DF,2,13
Michail Antonio,FW,10,68
Mark Noble,MF,4,17
Andriy Yarmolenko,MF,5,26
Vicente Guaita,GK,0,0
James Tomkins,DF,1,9
Joel Ward,DF,0,5
Craig Dawson,DF,2,26
Jan Vertonghen,DF,1,4
Nicolás Otamendi,DF,2,15
Christian Benteke,FW,2,41
Cheikhou Kouyaté,MF,1,24
Wilfried Zaha,MF,4,61
Jordan Ayew,FW,9,58
Will Hughes,MF,1,27
Andre Gray,FW,2,19
Martin Kelly,FW,0,2
Jeffrey Schlupp,MF,3,18
James McArthur,MF,0,28
Luka Milivojevic,MF,3,31
Jairo Riedewald,DF,0,3
Moussa Djenepo,MF,2,20
James Ward-Prowse,MF,5,57
Jan Bednarek,DF,1,7
Theo Walcott,MF,2,31
Alex McCarthy,GK,0,0
Jack Stephens,DF,1,6
Stuart Armstrong,MF,5,46
Nathan Redmond,MF,4,59
Oriol Romeu,MF,0,8
Shane Long,FW,2,33
Che Adams,FW,4,36
Fabian Delph,MF,0,3
Richarlison,FW,13,89
Yerry Mina,DF,2,30
Gylfi Sigurdsson,MF,2,46
Jordan Pickford,GK,0,0
Michael Keane,DF,2,14
Seamus Coleman,DF,0,8
Tom Davies,MF,1,17
André Gomes,MF,0,5
Dominic Calvert-Lewin,FW,13,85
Demarai Gray,MF,2,23
Abdoulaye Doucouré,MF,4,61
Andros Townsend,MF,1,12
Ben Godfrey,DF,0,15
Mason Holgate,DF,0,12
Anwar El Ghazi,FW,4,53
Ederson,GK,0,0
Aymeric Laporte,DF,1,4
Benjamin Mendy,DF,0,10
John Stones,DF,0,6
Kyle Walker,DF,1,14
Ilkay Gündogan,MF,2,32
João Cancelo,DF,0,15
Alex Iwobi,MF,1,23
Nathan Aké,DF,2,25
Mario Vrancic,MF,1,14
Rodri,MF,3,24
Paulo Gazzaniga,GK,0,0
Kevin De Bruyne,MF,14,100
Phil Foden,FW,5,34
Riyad Mahrez,FW,11,74
Bernardo Silva,FW,6,52
Fernandinho,DF,0,16
Oleksandr Zinchenko,DF,0,16
Gabriel Jesus,FW,14,101
Raheem Sterling,FW,20,100
Nathaniel Chalobah,MF,0,9
Jack Grealish,FW,8,73
Harry Wilson,MF,7,56
Romain Saiss,DF,2,23
Raúl Jiménez,FW,17,117
Leander Dendoncker,MF,4,20
Conor Coady,DF,0,0
Adama Traoré,FW,4,43
Tim Krul,GK,0,0
Max Aarons,DF,0,14
Sam Byram,DF,0,15
Hugo Lloris,GK,0,0
Ben Davies,DF,0,7
Davinson Sánchez,DF,0,7
Olivier Giroud,FW,8,39
Matt Doherty,DF,4,34
Grant Hanley,DF,0,8
Christoph Zimmermann,DF,0,6
Todd Cantwell,FW,6,42
Kenny McLean,MF,1,30
Teemu Pukki,FW,11,80
Fikayo Tomori,DF,1,7
Brandon Williams,DF,1,6
Dele Alli,MF,8,42
Eric Dier,DF,0,8
Harry Winks,MF,0,14
Harry Kane,FW,18,82
Son Heung-Min,FW,11,81
Pierre-Emile Højbjerg,MF,0,46
Dan Burn,DF,0,13
Shane Duffy,DF,1,7
Lewis Dunk,DF,3,31
Adam Webster,DF,3,16
Alisson,GK,0,0
Trent Alexander-Arnold,DF,4,45
Joseph Gomez,DF,0,1
Andrew Robertson,DF,2,22
Virgil van Dijk,DF,5,31
Adam Lallana,MF,1,5
Leandro Trossard,FW,5,41
Steven Alzate,MF,0,13
Yves Bissouma,MF,1,16
Pascal Groß,FW,2,29
Solly March,DF,0,20
Neal Maupay,FW,10,96
Jordan Henderson,MF,4,20
Naby Keita,MF,2,12
James Milner,MF,2,12
Alex Oxlade-Chamberlain,MF,4,40
Fabinho,MF,2,12
Roberto Firmino,FW,9,98
Sadio Mané,FW,18,77
Divock Origi,FW,4,14
Mohamed Salah,FW,19,132
Moise Kean,FW,2,30
Lucas Torreira,MF,1,21
Steve Cook,DF,1,12
Ainsley Maitland-Niles,DF,0,4
Kasper Schmeichel,GK,0,1
Youri Tielemans,MF,3,56
Ricardo Pereira,DF,3,18
Caglar Söyüncü,DF,1,17
Marc Albrighton,MF,0,10
James Maddison,MF,6,74
Ryan Bertrand,DF,1,19
Jannik Vestergaard,DF,1,12
Keinan Davis,FW,0,17
Tammy Abraham,FW,15,88
Gary Cahill,DF,0,21
Felipe Anderson,MF,1,23
Jefferson Lerma,MF,1,30
Kelechi Iheanacho,FW,5,36
Dennis Praet,MF,1,16
Harvey Barnes,MF,6,61
Hamza Choudhury,MF,1,7
Wilfred Ndidi,MF,2,26
Jamie Vardy,FW,23,89
Adam Smith,DF,0,4
Lewis Cook,MF,0,9
Ayoze Pérez,MF,8,47
Jack Stacey,DF,0,5
Philip Billing,MF,1,33
James Tarkowski,DF,2,21
Junior Stanislas,MF,3,17
Dominic Solanke,FW,3,32
Nick Pope,GK,0,0
Phil Bardsley,DF,0,11
Matthew Lowton,DF,0,1
Ben Mee,DF,1,17
Charlie Taylor,DF,0,1
Robbie Brady,MF,1,12
Jack Cork,MF,0,18
Erik Pieters,DF,0,14
Roberto Pereyra,FW,3,21
Gerard Deulofeu,FW,4,63
Robert Snodgrass,MF,5,21
Aaron Lennon,MF,0,1
Ashley Westwood,MF,2,13
Ashley Barnes,FW,6,40
Dwight McNeil,MF,2,48
Matej Vydra,FW,2,18
Dale Stephens,MF,0,19
Jay Rodriguez,FW,8,67
Callum Robinson,FW,1,12
Miguel Almirón,MF,4,55
Fabian Schär,DF,2,20
Emil Krafth,DF,0,4
Ryan Fraser,MF,1,27
Martin Dubravka,GK,0,0
Paul Dummett,DF,0,2
Federico Fernández,DF,2,15
Jamaal Lascelles,DF,1,9
Javier Manquillo,DF,0,1
Isaac Hayden,MF,1,18
Matt Ritchie,DF,2,26
Jonjo Shelvey,MF,6,45
Jeff Hendrick,MF,2,22
Jamal Lewis,DF,1,9
Allan Saint-Maximin,MF,3,46
Joelinton,FW,2,50
Joe Willock,MF,1,15
Callum Wilson,FW,8,53
Troy Deeney,FW,10,45
Sean Longstaff,MF,1,25
Chris Wood,FW,14,65
Michael Obafemi,FW,3,12
Onel Hernández,FW,1,29
Dwight Gayle,FW,4,23
Tom Trybull,MF,0,11
Christian Atsu,FW,0,5
Sven Bender,DF,0,4
Jhon Córdoba,FW,7,48
Marcel Hartel,MF,0,21
Theodor Gebre Selassie,DF,3,19
Niklas Moisander,DF,0,0
Oscar Wendt,DF,1,8
Ömer Toprak,DF,2,10
Niklas Süle,DF,1,20
Leonardo Bittencourt,MF,4,43
Benjamin Pavard,DF,0,10
Romano Schmid,FW,0,18
Jiri Pavlenka,GK,0,0
Marco Friedl,DF,0,8
Jean-Manuel Mbom,MF,0,7
Niclas Füllkrug,FW,6,35
Felix Agu,DF,1,4
Christian Groß,MF,0,7
Lucas Hernández,DF,0,5
Ralf Fährmann,GK,0,1
Kingsley Coman,FW,5,52
Serge Gnabry,FW,10,59
Corentin Tolisso,MF,1,12
Robert Lewandowski,FW,41,135
Marcel Sabitzer,MF,8,60
Dominick Drexler,MF,2,12
Danny Latza,MF,0,22
Malick Thiaw,DF,1,8
Oliver Baumann,GK,0,0
Pavel Kaderábek,DF,0,10
Stefan Posch,DF,0,10
Kevin Vogt,DF,0,1
Christoph Baumgartner,MF,6,61
Florian Grillitsch,MF,2,20
Philipp Klement,MF,1,7
Marius Bülter,FW,1,17
Kevin Akpoguma,DF,1,2
Bastian Oczipka,DF,0,7
Sebastian Rudy,MF,1,16
Andrej Kramaric,FW,20,95
Robert Skov,FW,1,33
Mijat Gacinovic,DF,0,13
Christopher Trimmel,DF,1,8
Grischa Prömel,MF,3,20
Andreas Voglsammer,FW,2,32
Andreas Luthe,GK,0,0
Rani Khedira,MF,1,10
Kevin Möhwald,MF,5,23
Ihlas Bebou,FW,9,48
Robin Knoche,DF,1,12
Levin Öztunali,DF,1,6
Dominique Heintz,DF,0,3
Keita Endo,MF,1,8
Maximilian Eggestein,MF,2,22
Manuel Gulde,DF,2,9
Lukas Kübler,DF,0,2
Philipp Lienhart,DF,4,9
Nico Schlotterbeck,DF,1,22
Vincenzo Grifo,MF,9,57
Nicolas Höfler,MF,1,20
Roland Sallai,MF,8,47
Lucas Höler,FW,4,44
Sheraldo Becker,FW,3,31
Ermedin Demirovic,FW,5,42
Cedric Teuchert,FW,3,24
Mark Uth,FW,3,35
Sebastian Andersson,FW,3,39
Timo Horn,GK,0,0
Jonas Hector,MF,3,27
Salih Özcan,MF,0,11
Kingsley Ehizibue,DF,0,9
Jan Thielmann,FW,2,12
Dominik Kohr,MF,1,21
Marcus Ingvartsen,MF,3,38
Anderson-Lenda Lucoqui,DF,0,8
Elvis Rexhbecaj,MF,5,29
Kevin Stöger,MF,3,9
Robin Zentner,GK,0,1
Stefan Bell,DF,1,8
Daniel Brosinski,DF,2,10
Alexander Hack,DF,1,7
Moussa Niakhate,DF,3,10
Jean-Paul Boëtius,MF,2,29
Jonathan Burkardt,FW,2,29
Karim Onisiwo,FW,4,55
Breel Embolo,FW,5,41
Stefan Lainer,DF,2,25
Hannes Wolf,MF,3,16
Nico Elvedi,DF,3,12
Niklas Stark,DF,0,12
Marcus Thuram,FW,8,57
Marvin Friedrich,DF,5,25
Christoph Kramer,FW,0,10
Lars Stindl,MF,14,56
Patrick Herrmann,FW,0,19
Alassane Pléa,FW,6,62
Alexander Schwolow,GK,0,0
Suat Serdar,MF,1,32
Lucas Tousart,MF,1,30
Sebastiaan Bornauw,DF,1,18
Koen Casteels,GK,0,0
Christian Gebauer,MF,1,10
Marco Richter,FW,3,55
Maximilian Mittelstädt,DF,0,16
Marvin Plattenhardt,DF,0,3
Vladimir Darida,MF,1,27
Davie Selke,FW,3,28
Maximilian Philipp,MF,6,30
Xaver Schlager,MF,2,49
Robert Gumny,DF,1,6
Iago,DF,1,9
Mads Pedersen,DF,0,1
Maxence Lacroix,DF,1,16
Rafal Gikiewicz,GK,0,0
Paulo Otávio,DF,0,14
Raphael Framberger,DF,0,1
Jeffrey Gouweleeuw,DF,1,7
Reece Oxford,DF,0,6
John Brooks,DF,2,19
Yannick Gerhardt,MF,2,31
Jérôme Roussillon,DF,0,10
Felix Uduokhai,DF,1,13
Josuha Guilavogui,MF,0,5
Dodi Lukebakio,FW,5,42
Bartosz Bialek,FW,2,8
Daniel Caligiuri,MF,6,40
Alessandro Schöpf,FW,0,10
Sergio Córdova,FW,2,20
Carlos Gruezo,MF,0,16
Alfred Finnbogason,FW,0,13
Nathan de Medina,DF,0,0
Cédric Brunner,DF,0,6
Amos Pieper,DF,1,15
Manuel Prietl,MF,1,18
André Hahn,FW,8,43
Arne Maier,MF,0,11
Fabian Kunze,MF,0,7
Tobias Strobl,MF,0,6
Florian Niederlechner,FW,5,47
Gonzalo Castro,MF,4,31
Konstantinos Mavropanos,DF,0,16
Mateo Klimowicz,FW,1,33
Wataru Endo,MF,3,28
Orel Mangala,MF,1,25
Atakan Karazor,DF,0,3
Fabian Klos,FW,5,54
Roberto Massimo,DF,0,15
Waldemar Anton,DF,0,12
Florian Müller,GK,0,0
Pascal Stenzel,DF,0,5
Marc-Oliver Kempf,DF,2,18
Borna Sosa,DF,0,14
Daniel Didavi,FW,4,23
Tanguy Coulibaly,DF,2,25
Sasa Kalajdzic,FW,16,66
Sebastian Griesbeck,MF,0,4
Jessic Ngankam,FW,2,6
Jonathan Schmid,DF,2,21
Keven Schlotterbeck,DF,0,7
Nils Petersen,FW,8,34
Benito Raman,FW,2,26
Jean-Philippe Mateta,FW,7,28
Sven Schipplock,FW,1,16
Philipp Förster,FW,3,20
Jannes Horn,DF,0,6
Timo Becker,DF,0,5
Michael Gregoritsch,FW,1,12
Jamal Musiala,FW,6,25
Amin Younes,MF,3,33
Aleksandar Dragovic,DF,1,4
Stefan Ilsanker,MF,1,12
Timothy Chandler,DF,1,5
Martin Hinteregger,DF,2,24
Tuta,DF,0,4
Almamy Touré,DF,1,16
Makoto Hasebe,DF,0,2
Sebastian Rode,MF,1,3
Daichi Kamada,MF,5,38
Erik Durm,DF,1,20
Christopher Lenz,DF,0,16
Moussa Diaby,FW,4,50
